FormOID,ItemGroupOID,ItemOID,ItemName,Question,SampleValues
F_AE_1,IG_AE,I_AE_SEVERITY,,,['Mild']
F_AE_1,IG_AE,I_AE_STARTDATE,,,['2026-01-15']
F_AE_1,IG_AE,I_AE_TERM,,,['Headache']
F_CM_1,IG_CM,I_CM_DOSE,,,['81']
F_CM_1,IG_CM,I_CM_TERM,,,['ASPIRIN']
F_CM_1,IG_CM,I_CM_UNIT,,,['mg']
F_DEMOG_1,IG_DEMOG,I_DEMOG_AGE,,,"['21', '22', '23']"
F_DEMOG_1,IG_DEMOG,I_DEMOG_RACE,,,['White']
F_DEMOG_1,IG_DEMOG,I_DEMOG_SEX,,,"['F', 'M']"
F_DISP_1,IG_DISP,I_DISP_DECOD,,,['COMPLETED']
F_DISP_1,IG_DISP,I_DISP_DTC,,,['2026-06-01']
F_DISP_1,IG_DISP,I_DISP_TERM,,,['COMPLETED']
F_IC_1,IG_IC,I_IC_DATE,,,['2025-12-31']
F_IC_1,IG_IC,I_IC_YN,,,['YES']
F_IE_1,IG_IE,I_IE_DTC,,,['2025-12-31']
F_IE_1,IG_IE,I_IE_EXCL_01,,,['NO']
F_IE_1,IG_IE,I_IE_INCL_01,,,['YES']
F_LAB_1,IG_LAB_CHEM,I_LAB_CHOL,,,"['181', '182', '183']"
F_LAB_1,IG_LAB_CHEM,I_LAB_GLUC,,,"['91', '92', '93']"
F_LAB_1,IG_LAB_HEM,I_LAB_HGB,,,"['14.1', '14.2', '14.3']"
F_LAB_1,IG_LAB_HEM,I_LAB_WBC,,,"['6.1', '6.2', '6.3']"
F_VS_1,IG_VS,I_VS_DIABP,,,"['81', '82', '83']"
F_VS_1,IG_VS,I_VS_HEIGHT,,,"['161', '162', '163']"
F_VS_1,IG_VS,I_VS_SYSBP,,,"['121', '123', '122']"
F_VS_1,IG_VS,I_VS_WEIGHT,,,"['61', '62', '63']"
